festival,lugar,fecha_inicio,fecha_fin,duracion,cod_postal,latitud,longitud,provincia,localidad,artistas,estilos,enlace_foto,cartel_peq,gratuito,habitantes,tamaño_localidad,mes,costa,comunidad_autonoma,electronica,indie,rock,pop
Reggaeton Beach Festival (Marina D'Or) 2023,Marina d'Or,2023-06-24,2023-06-25,2,12594,40.105682,0.151684,Castellón,Oropesa del Mar,['Eladio Carrión'],"['urban', 'latin', 'reggaeton']",https://fanmusicfest.b-cdn.net/sites/default/files/324888847_1383466552395191_5416390503950853561_n_6.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/324888847_1383466552395191_5416390503950853561_n.jpg?itok=-Am-IvVZ,False,10184,10K - 50K,Junio,True,Comunidad Valenciana,False,False,False,False
Granada Latina Festival 2023,Cortijo del Conde,2023-06-24,2023-06-24,1,18015,37.200651,-3.656157,Granada,Granada,"['Nicky Jam', 'Dellafuente', 'Morad', 'Eladio Carrión', 'Manuel Turizo', 'RVFV']","['urban', 'latin', 'reggaeton']",https://fanmusicfest.b-cdn.net/sites/default/files/325482906_1222378358674328_1130548242447971138_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/278721685_952688898758538_7878980759826537317_n.jpg?itok=_yORdGkB,False,228682,100K - 500K,Junio,True,Andalucía,False,False,False,False
Música en Grande 2023,Campos del Malecón,2023-06-28,2023-07-01,4,39300,43.350226,-4.062688,Cantabria,Torrelavega,"['Pablo Alborán', 'Lori Meyers', 'Melendi', 'Suede', 'Alejandro Fernández', 'Malú', 'Natalia Lacunza', 'Shinova', 'Taburete', 'Alba Reche', 'Arde Bogotá', 'Barry B', ""We Are Not Dj's"", '4 de copas', 'Gara Durán', 'Leo Rizzi', 'Paula Mattheus']","['rock', 'pop', 'flamenco']",https://fanmusicfest.b-cdn.net/sites/default/files/grande_0.png,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/280284379_5486795994666148_9113249772621718801_n.png?itok=lOCr6md9,False,51142,50K - 100K,Junio,True,Cantabria,False,False,True,True
Guitar BCN 2023,Varias localizaciones,2023-01-27,2023-06-29,154,08001,41.385566,2.175531,Barcelona,Barcelona,"['Andrés Calamaro', 'El Kanka', 'Ana Mena', 'Christina Rosenvinge', 'Danny Ocean', 'Els Amics De Les Arts', 'Ismael Serrano', 'Nacho Vegas', 'Ojete Calor', 'Pasión Vega', 'Pastora Soler', 'Second', 'Suu', 'Zaz', 'Andrés Suárez', 'Despistaos', 'India Martínez', 'Joe Satriani', 'Judit Neddermann', 'María Peláe', 'Núria Graham', 'Sílvia Pérez Cruz', 'Tulsa', 'Antoñito Molina', 'Bacilos']","['indie', 'pop', 'folk', 'fusion']",https://fanmusicfest.b-cdn.net/sites/default/files/317635463_838401627209830_732155440713351181_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/captura_de_pantalla_2022-05-09_a_las_11.35.26.png?itok=VOxzkvk9,False,1636193,1M - 2M,Enero,True,Cataluña,False,True,False,True
Oasis Sound Festival 2023,Recinto Oasis Sound,2023-06-30,2023-07-01,2,13240,38.933504,-3.265487,Ciudad Real,La Solana,"['La M.O.D.A.', 'Rufus T. Firefly', 'Cristian Varela', 'Niña Polaca', 'Veintiuno', 'Innmir', 'Sexy Zebras', 'Tu Otra Bonita', 'Anouck the Band', 'BITA', 'Begut', 'César Almena', 'Henko', 'Hordeep', 'Juan Reina DJ', 'Miguel SZ', 'Raúl Parra', 'Sugarcrush', 'UDE.e9']","['indie', 'pop', 'indie rock', 'urban']",,,,15313,10K - 50K,Junio,False,Castilla-La Mancha,False,True,True,True
Festival Río Babel 2023,Caja Mágica,2023-06-30,2023-07-02,3,28001,40.368782,-3.684282,Madrid,Madrid,"['Jamiroquai', 'Juan Luis Guerra', 'Alizzz', 'Arde Bogotá', 'Guitarricadelafuente', 'Julieta Venegas', 'La M.O.D.A.', 'Macaco', 'Sen Senra', 'Aterciopelados', 'Bomba Estéreo', 'Colectivo Panamera', 'Eskorzo', 'Morat', 'Mr. Kilombo', 'Tremenda Jauría', '31 Fam', 'Balkan Paradise Orchestra', 'Conociendo Rusia', 'La Santa Cecilia', 'Peces Raros', 'Son Rompe Pera', 'The Guapos']","['rock', 'pop', 'hip-hop', 'fusion', 'urban']",https://fanmusicfest.b-cdn.net/sites/default/files/327451180_1602245856854027_1494155098436570078_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/275558280_5796538850361840_5240303702711087715_n.jpg?itok=QJ1mJi55,False,3280782,2M - 3.2M,Junio,False,Madrid,False,False,True,True
Lagata Reggae Festival 2023,Azuara,2023-06-30,2023-07-02,3,50140,41.255855,-0.872555,Zaragoza,Azuara,sin artistas,['reggae'],https://fanmusicfest.b-cdn.net/sites/default/files/332138672_630670432232189_6176515448212029816_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/lagata.jpg?itok=gQYNo7H-,False,539,0 - 5K,Junio,False,Aragón,False,False,False,False
Festival Cueva de Nerja 2023,Exterior Cueva de Nerja,2023-06-30,2023-08-12,44,29787,36.762015,-3.844933,Málaga,Nerja,"['Diana Navarro', 'María José Llergo', 'María Peláe', 'Miguel Poveda', 'Pastora Soler', 'Raphael']","['pop', 'flamenco', 'classical']",https://fanmusicfest.b-cdn.net/sites/default/files/cueva_1.jpeg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/nerja_cartel.jpg?itok=j0zZ29Xg,False,21450,10K - 50K,Junio,True,Andalucía,False,False,False,True
Concert Music Festival 2023,Concert Music Festival,2023-07-01,2023-08-31,62,11139,36.394005,-6.207314,Barcelona,Chiclana de la Frontera,"['Alejandro Sanz', 'David Bisbal', 'Bizarrap', 'Camela', 'Duki', 'Rod Stewart', 'Bad Gyal', 'Eros Ramazzotti', 'Mónica Naranjo', 'Pablo Alborán', 'Taburete', 'Víctor Manuel', 'Antonio Orozco', 'Chambao', 'El Kanka', 'Lola Indigo', 'Niña Pastori', 'Sebastian Yatra', 'Simply Red', 'Tom Odell', 'Vanesa Martín', 'Zaz', 'Carlos Rivera', 'Danny Ocean', 'Ludovico Einaudi']","['rock', 'pop', 'folk', 'fusion', 'flamenco']",https://fanmusicfest.b-cdn.net/sites/default/files/326136800_716476653181929_5609730214646173433_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/concert_0.jpg?itok=05u7vQ5z,False,87493,50K - 100K,Julio,True,Cataluña,False,False,True,True
Canet Rock 2023,Canet de Mar,2023-07-01,2023-07-01,1,08360,41.593742,2.567597,Barcelona,Canet de Mar,"['Els Catarres', 'Suu', '31 Fam', 'Els Amics De Les Arts', 'Stay Homas', 'The Tyets']","['rock', 'indie', 'hip-hop', 'fusion', 'mestizaje']",https://fanmusicfest.b-cdn.net/sites/default/files/319304473_3221254398188888_6175072031392882294_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/276154077_5672614969420166_432542588459179313_n.jpg?itok=UeXCF4FH,False,14845,10K - 50K,Julio,True,Cataluña,False,True,True,False
Bahía Sound 2023,Centro Comercial Bahía Sur,2023-07-01,2023-08-19,50,11100,36.470933,-6.208702,Cádiz,San Fernando,"['Leiva', 'Eladio Carrión', 'Marea', 'Viva Suecia', 'India Martínez', 'Miguel Poveda', 'Second', 'Camin', 'JC Reyes', 'Los Hermanos Dalton', 'Mike Morato']","['rock', 'indie', 'pop', 'hip-hop', 'urban']",https://fanmusicfest.b-cdn.net/sites/default/files/331279340_1340640793395808_8846389878552267524_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/279462686_2179814632184133_7826130933000193233_n.jpg?itok=pjE1EOmz,False,94120,50K - 100K,Julio,True,Andalucía,False,True,True,True
Concerts de Vivers 2023,Jardines del Real o Viveros,2023-07-01,2023-07-23,23,46001,39.480281,-0.367696,Valencia,Valencia,"['Lola Indigo', 'M-Clan', 'Mónica Naranjo', 'Rodrigo Cuevas', 'Rozalén', 'The Waterboys', 'Alborosie', 'Cupido', 'LP', 'Los Secretos', 'Miguel Poveda', 'Miki Núñez', 'Sofía Ellar', 'Tini', 'Auxili', 'Gabriel Ríos', 'Jacob Collier', 'La Fúmiga', 'La La Love You', 'Los Enemigos', 'Nena Daconte', 'trashi', 'Ana Curra', 'Borumbaia', 'Botifarra']","['rock', 'pop', 'folk', 'urban', 'mestizaje']",https://fanmusicfest.b-cdn.net/sites/default/files/vivers.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/nits_cartel.jpg?itok=LlU1XhmO,False,792492,500K - 1M,Julio,True,Comunidad Valenciana,False,False,True,True
Cruilla 2023,Parc del Fòrum,2023-07-05,2023-07-08,4,08020,41.410693,2.226341,Barcelona,Sant Adrià de Besòs,"['Viva Suecia', 'Placebo', 'Franz Ferdinand', 'Leiva', 'Alt-J', 'Sigur Ros', 'Tash Sultana', 'The Offspring', 'Amaia', 'Carolina Durante', 'Moderat', 'Sen Senra', 'Sidonie', 'Antònia Font', 'Bomba Estéreo', 'Cala Vento', 'Ciudad Jara', 'Cruz Cafuné', 'Dani Fernández', 'Iseo & Dodosound', 'Rubén Blades', 'Stay Homas', 'Carlangas', 'Delaossa', 'La Élite']","['rock', 'indie', 'pop', 'hip-hop', 'fusion']",https://fanmusicfest.b-cdn.net/sites/default/files/331631170_2173257889525422_3847033114032893459_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/316309665_150682634386548_2613934088931418139_n.jpg?itok=TGjKtbSW,False,36918,10K - 50K,Julio,True,Cataluña,False,True,True,True
Bilbao BBK Live 2023,Kobetamendi,2023-07-06,2023-07-08,3,48002,43.258276,-2.964163,Vizcaya,Bilbao,"['Arctic Monkeys', 'Florence + The Machine', 'Pavement', 'Phoenix', 'The Chemical Brothers', 'Jamie xx', 'Róisín Murphy', 'The Blaze', '070 Shake', 'Arca', 'Duki', 'Fever Ray', 'Idles', 'Love of Lesbian', 'M83', 'Röyksopp', 'Amaia', 'Arde Bogotá', 'Avalon Emerson', 'Cala Vento', 'Delaporte', 'John Talabot', 'Morgan', 'Perfume Genius', 'Villano Antillano']","['rock', 'indie', 'pop', 'electronic', 'alternative']",https://fanmusicfest.b-cdn.net/sites/default/files/bbk_0.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/udazkensoinuak2022.jpg?itok=GULlAx0K,False,344127,100K - 500K,Julio,True,País Vasco,True,True,True,True
Mad Cool Festival 2023,La Ciudad de la Música,2023-07-06,2023-07-08,3,28001,40.329834,-3.7112,Madrid,Madrid,"['Red Hot Chili Peppers', 'Queens Of The Stone Age', 'Robbie Williams', 'Franz Ferdinand', 'Liam Gallagher', 'Lizzo', 'Sam Smith', 'The Black Keys', 'The Offspring', 'Janelle Monáe', 'Mumford & Sons', 'Primal Scream', 'The 1975', 'The Prodigy', 'Angel Olsen', 'Jamie xx', 'Kurt Vile & The Violators', 'Morgan', 'Sigur Ros', 'Tash Sultana', 'The Blessed Madonna', 'Years & Years', 'AR/CO', 'Armis', 'Ava Max']","['rock', 'indie', 'pop', 'electronic', 'hip-hop']",https://fanmusicfest.b-cdn.net/sites/default/files/ph7j_mc23poster2mnewsletter-1.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/sunset_0.jpg?itok=m2Bkph9R,False,3280782,2M - 3.2M,Julio,False,Madrid,True,True,True,True
Feslloc! 2023,Poliesportiu de Benlloc,2023-07-06,2023-07-08,3,12181,40.20902,0.030786,Valencia,Benlloch,"['Auxili', 'Smoking Souls', 'JazzWoman', 'La Fúmiga', 'Roba Estesa', 'Pepet i marieta', 'Aina Koda', 'Carraixet', 'Cesk Freixas', 'Colomet', 'Esther', 'Kela', 'La Maria', 'La Pepa', 'Lola Bou i Manel Brancal', ""MO'Roots"", 'Malparlat', 'Maluks', 'Neus Ferri', 'Niuss', 'Oceäns', 'The Tyets', 'Titana', 'Tito Pontet', 'Zetak']","['rock', 'hip-hop', 'folk', 'rap']",https://fanmusicfest.b-cdn.net/sites/default/files/332197989_5897776927006667_9035029728029388323_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/279491318_3224365851134365_2367650929394730188_n.jpg?itok=ft4aQ-oe,False,1092,0 - 5K,Julio,True,Comunidad Valenciana,False,False,True,False
Granca Live Fest 2023,Estadio de Gran Canaria,2023-07-07,2023-07-08,2,35019,28.100452,-15.45682,Las Palmas,Las Palmas de Gran Canaria,"['Rosalía', 'Maluma', 'Fuel Fandango', 'Manuel Carrasco', 'Sebastian Yatra', 'Lola Indigo', 'Morat', 'Tini', 'Arístides Moreno', 'Delokos', 'El Vega Life', 'Kany García', 'Lali', 'Ruts & La Isla Music']","['pop', 'fusion', 'rap', 'urban', 'latin']",https://fanmusicfest.b-cdn.net/sites/default/files/320325015_834045231212547_4391809771894858775_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/287548893_171523961998794_810921750810367252_n.jpg?itok=wdekCi-Y,False,378797,100K - 500K,Julio,True,Canarias,False,False,False,True
Alterna Festival 2023,Recinto Alterna Festival,2023-07-07,2023-07-08,2,02610,38.952476,-2.536924,Albacete,El Bonillo,"['Desakato', 'El Drogas', 'Boikot', 'Narco', 'Soziedad Alkoholika', 'Lendakaris Muertos', 'Los De Marras', 'Mafalda', 'Porretas', 'Reincidentes', 'Sons of Aguirre', 'Arpaviejas', 'Tremenda Jauría', 'Dremen', 'Pandemonium', 'Scila']","['rock', 'punk', 'fusion', 'rap', 'punk rock']",https://fanmusicfest.b-cdn.net/sites/default/files/331147579_1572000226611719_1675605576513127949_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/287533881_4690838657683886_7676811903813452838_n.jpg?itok=FebHh5o9,False,2698,0 - 5K,Julio,False,Castilla-La Mancha,False,False,True,False
Pirineos Sur 2023,Auditorio Natural de Lanuza,2023-07-07,2023-07-29,23,22640,42.757979,-0.316029,Huesca,Sallent de Gállego,"['Kraftwerk', 'Love of Lesbian', 'Luz Casal', 'Rozalén', 'Bomba Estéreo', 'Guitarricadelafuente', 'La Pegatina', 'Los Chikos del Maíz', 'Rubén Blades', 'Zaz', ""Chef'Special"", 'Dubioza kolektiv', 'Eskorzo', 'Ludovico Einaudi', 'Luísa Sobral', 'Muerdo', 'R de Rumba', 'Rapsusklei', 'Silvana Estrada', 'Valeria Castro', 'Conociendo Rusia', 'Dj Lord Sassafras', 'Dj Pendejo', 'Face Down Ass Up', 'Jahsta']","['pop', 'folk', 'fusion', 'latin', 'flamenco']",https://fanmusicfest.b-cdn.net/sites/default/files/pirineos.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/276065814_10166262905460192_498506134743327848_n_0.jpg?itok=doCrmsRc,False,1557,0 - 5K,Julio,False,Aragón,False,False,False,True
Isla Bonita Love Festival 2023,Puerto de Tazacorte,2023-07-08,2023-07-08,1,38770,28.644423,-17.9438,Santa Cruz de Tenerife,Tazacorte,['Quevedo'],"['rock', 'pop', 'electronic', 'latin', 'dance']",https://fanmusicfest.b-cdn.net/sites/default/files/330823595_847579679675457_6262334135300245638_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/isla_0.jpg?itok=2SQ5qjo0,False,4502,0 - 5K,Julio,True,Canarias,True,False,True,True
Festival Internacional do Mundo Celta de Ortigueira 2023,Plaza Isabel II,2023-07-09,2023-07-16,8,15330,43.684469,-7.854814,A Coruña,Ortigueira,sin artistas,"['folk', 'fusion']",https://fanmusicfest.b-cdn.net/sites/default/files/326343109_1053554958701862_7371766625772455665_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/286452781_5756149897731906_5163506237539948213_n.jpg?itok=q66T2N0D,True,5420,5K - 10K,Julio,True,Galicia,False,False,False,False
Pirata Beach Festival 2023,Polígono Industrial Benieto,2023-07-12,2023-07-15,4,46702,38.956917,-0.170496,Valencia,Gandia,"['Ayax y Prok', 'Mala Rodríguez', 'Natos y Waor', 'Ska-p', 'Dorian', 'Fernandocosta', 'Morad', 'SFDK', 'Sidecars', 'Sidonie', 'Boikot', 'Celtas Cortos', 'Cupido', 'Desakato', 'Don Patricio', 'El Canijo de Jerez', 'Juancho Marqués', 'Kaze', 'Lendakaris Muertos', 'Los Chikos del Maíz', 'Lágrimas De Sangre', 'Narco', 'Natalia Lacunza', 'Pole', 'Reincidentes']","['rock', 'fusion', 'rap', 'urban', 'mestizaje']",https://fanmusicfest.b-cdn.net/sites/default/files/334832807_1392347181541823_5795557147782526742_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/pirata-fallas-23.jpg?itok=9RuoXkiO,False,75911,50K - 100K,Julio,True,Comunidad Valenciana,False,False,True,False
Boombastic Festival Asturias 2023,Jardines Feriales de Llanera,2023-07-13,2023-07-15,3,33424,43.430827,-5.864897,Asturias,Llanera,"['Bizarrap', 'Duki', 'Natos y Waor', 'Bad Gyal', 'Eladio Carrión', 'Mora', 'Ana Mena', 'Fernandocosta', 'Morad', 'Ptazeta', 'Recycled J', 'Rojuu', 'Taburete', 'Bely Basarte', 'Costa', 'Funzo & Baby Loud', 'Hens', 'Jaime Lorente', 'Juancho Marqués', 'Las Ninyas del Corro', 'Marlon', 'Pole', 'Veintiuno', 'Villano Antillano', 'Álvaro de Luna']","['pop', 'electronic', 'hip-hop', 'urban']",https://fanmusicfest.b-cdn.net/sites/default/files/333868159_888161209059185_5350091171026652022_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/332230662_2615571201918501_4494198821912251381_n.jpg?itok=iPrJrYgv,False,13792,10K - 50K,Julio,True,Asturias,True,False,False,True
EtnoSur 2023,Recinto Etnosur,2023-07-13,2023-07-16,4,23680,37.455148,-3.920918,Jaén,Alcalá la Real,"['Estrella Morente', 'Instituto Mexicano Del Sonido', 'Dry Martina', 'Minyo Crusaders', 'Sonoras Mil', 'Tito Ramírez']","['pop', 'folk', 'fusion', 'soul', 'mestizaje']",https://fanmusicfest.b-cdn.net/sites/default/files/333564114_760606538754429_2343841758295111840_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/etnosur.png?itok=FR-qqHAV,True,21556,10K - 50K,Julio,False,Andalucía,False,False,False,True
Festival Sónica 2023,Estadio Riomar,2023-07-14,2023-07-15,2,39700,43.370741,-3.2098,Cantabria,Castro Urdiales,"['Vetusta Morla', 'Leiva', 'Ginebras', 'Amatria', 'Dani Fernández', 'Marlon', 'Chica Gang', 'Karavana', 'Marlena', 'Siloé', 'Cariño', 'Casapalma', 'Chill Chicos', 'La Xinni', 'Lu Decker', 'Me Fritos And The Gimme Cheetos', 'Menta', 'Niña Polaca', 'Pipiolas', 'Repion', 'Samantha Hudson', 'Sara Puaj', 'Uhmami Dj', 'Juguete']","['rock', 'indie', 'hip-hop', 'urban']",https://fanmusicfest.b-cdn.net/sites/default/files/325599565_686416949878263_6995085543346791443_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/277357033_315910620631848_8079384114235679693_n.jpg?itok=8_GljPyG,False,33109,10K - 50K,Julio,True,Cantabria,False,True,True,False
Zevra Festival 2023,Playa de Cullera (Recinto Medusa Festival),2023-07-21,2023-07-24,4,46400,39.156721,-0.244832,Valencia,Cullera,"['Ozuna', 'Lil Pump', 'Nicky Jam', 'Quevedo', 'Ana Mena', 'Chimbala', 'Juan Magan', 'Maikel Delacalle', 'María Becerra', 'Nervo', 'Omar Montes', 'Ptazeta', 'RVFV', 'Taburete', 'Álvaro de Luna', 'Cali & El Dandee', 'Camin', 'DJ Nano', 'Dani Fernández', 'Danny Romero', 'Emilia', 'Henry Mendez', 'José de las Heras', 'Kaydy Cain', 'Marlon']","['indie', 'pop', 'electronic', 'urban', 'reggaeton']",https://fanmusicfest.b-cdn.net/sites/default/files/331732592_948210346187170_2656510002823991817_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/284288725_5075112175878005_1949935325293467178_n.jpg?itok=uBEpip_X,False,22937,10K - 50K,Julio,True,Comunidad Valenciana,True,True,False,True
Tío Pepe Festival 2023,Bodegas Tío Pepe,2023-07-21,2023-08-14,25,11403,36.679774,-6.141541,Cádiz,Jerez de la Frontera,"['Andrés Calamaro', 'Luz Casal', 'Soledad Giménez', 'Pastora Soler', 'Noa', 'Vicente Amigo', 'Antonio Reyes', 'Aurora Vargas', 'Comandante Lara', 'Diego del Morao', 'Jesús Méndez', 'Mecano Experience', 'Pansequito del Puerto', 'Pedro El Granaino']","['pop', 'singer-songwriter', 'classic rock', 'classical']",https://fanmusicfest.b-cdn.net/sites/default/files/316835749_2779224535543637_7097499740248933234_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/275256724_2538243029641790_6133200373110487656_n.jpg?itok=0e5sW_CY,False,212730,100K - 500K,Julio,True,Andalucía,False,False,True,True
LeturAlma 2023,Campo de Fútbol de Letur,2023-07-21,2023-07-22,2,02434,38.364254,-2.100993,Albacete,Letur,"['Rozalén', 'El Kanka', 'Depedro', 'Tanxugueiras', 'Reincidentes', 'Seguridad Social', 'Zoo', 'Chiki Lora', 'Alarmantiks!', 'Karmento', 'Paula Mattheus']","['pop', 'fusion', 'latin', 'mestizaje', 'rumba']",https://fanmusicfest.b-cdn.net/sites/default/files/329103671_1536393056847914_2576354120509093703_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/letur_0.jpg?itok=HNnUbJIy,False,901,0 - 5K,Julio,False,Castilla-La Mancha,False,False,False,True
Cabo de Plata 2023,Playa de la Hierbabuena,2023-07-26,2023-07-29,4,11150,36.186226,-5.941415,Cádiz,Barbate,"['Natos y Waor', 'Ska-p', 'Ayax y Prok', 'Dellafuente', 'Mala Rodríguez', 'Antílopez', 'Belén Aguilera', 'Celtas Cortos', 'Delaossa', 'Dubioza kolektiv', 'El Último Ke Zierre', 'Eskorzo', 'Fernandocosta', 'Maikel Delacalle', 'Marc Seguí', 'Zoo', 'Anier', 'Hora Zulú', 'Juancho Marqués', 'Machete en boca', 'Miguel Campello', 'RVFV', 'Recycled J', 'Tu Otra Bonita', 'Blake']","['rock', 'hip-hop', 'fusion', 'rap', 'urban']",https://fanmusicfest.b-cdn.net/sites/default/files/333568560_755047699195177_1358244915692825210_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/289600473_453028593302876_1522924658989451246_n.jpg?itok=BIW15YOD,False,22872,10K - 50K,Julio,True,Andalucía,False,False,True,False
Nits de Vivers 2023,Jardines del Real o Viveros,2023-07-26,2023-08-05,11,46001,39.480281,-0.367696,Valencia,Valencia,"['Damien Rice', 'Iván Ferreiro', 'Xoel López', 'El Kanka', 'Ilegales', 'La M.O.D.A.', 'Andrés Suárez', 'Dubioza kolektiv', 'El Jose', 'Balkan Paradise Orchestra', 'Karmento', 'Green Nomad', 'Hilight Tribe', 'Karina & Marina', 'Mandragora']","['rock', 'indie', 'pop', 'folk', 'fusion']",https://fanmusicfest.b-cdn.net/sites/default/files/nits_cartel.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/vivers.jpg?itok=1SVU-8Id,False,792492,500K - 1M,Julio,True,Comunidad Valenciana,False,True,True,True
Festival Jardins Terramar 2023,Parque Terramar,2023-07-28,2023-08-10,14,08870,41.228556,1.785482,Barcelona,Sitges,"['Tom Jones', 'Fangoria', 'Zaz', 'Kraftwerk', 'Malú', 'Manuel Turizo', 'Sara Baras', 'Blaumut', 'Els Amics De Les Arts', 'Nancys Rubias', 'Suu']","['rock', 'pop', 'singer-songwriter']",https://fanmusicfest.b-cdn.net/sites/default/files/captura_desde_2023-03-08_13-15-26.png,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/277534685_4966685460094494_1120909155640112674_n.jpg?itok=RtuSIU-A,False,31222,10K - 50K,Julio,True,Cataluña,False,False,True,True
Imagina Funk 2023,Pozo Alcón,2023-07-28,2023-07-29,2,23540,37.70444,-2.938188,Jaén,Torres,sin artistas,"['soul', 'funk']",https://fanmusicfest.b-cdn.net/sites/default/files/330852346_614230137206713_8041259740708015911_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/imagina_1.jpg?itok=3raLbYlR,False,1360,0 - 5K,Julio,False,Andalucía,False,False,False,False
The Juergas Rock Festival 2023,Recinto The Juergas Rock,2023-08-02,2023-08-05,4,04770,36.743544,-3.010919,Almería,Adra,"['Ska-p', 'Desakato', 'El Drogas', 'Narco', 'SFDK', 'Soziedad Alkoholika', 'El Canijo de Jerez', 'Reincidentes', 'Talco', 'The Baboon Show', 'Zoo', 'Arpaviejas', 'Def Con Dos', 'Kaos Urbano', 'Los De Marras', 'Lágrimas De Sangre', 'Porretas', 'Sons of Aguirre & Scila', 'TrasHtuCada', 'Tremenda Jauría', 'Agua Bendita', 'Dremen', 'The Lizards', 'XpresidentX']","['rock', 'metal', 'punk', 'hip-hop', 'fusion']",https://fanmusicfest.b-cdn.net/sites/default/files/334333212_3219758718309979_1162710306944385084_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/292592815_2292474567581174_7479627334550787214_n.jpg?itok=MHVSe8u7,False,25300,10K - 50K,Agosto,True,Andalucía,False,False,True,False
Arts d'Estiu 2023,Espai Marítim ARTS d'Estiu,2023-08-02,2023-08-14,13,08397,41.624522,2.70165,Barcelona,Pineda de Mar,"['Carlos Rivera', 'Rozalén', 'El Kanka', 'José Mercé', 'Ojete Calor', 'Mecano Experience']","['rock', 'pop', 'singer-songwriter', 'flamenco']",https://fanmusicfest.b-cdn.net/sites/default/files/artts.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/cartel_arts.jpg?itok=jqWLTk-X,False,28083,10K - 50K,Agosto,True,Cataluña,False,False,True,True
Festiuet 2023,Playa de San Salvador,2023-08-03,2023-08-05,3,43700,41.181852,1.534481,Tarragona,El Vendrell,"['Delaossa', 'Ptazeta', 'Ciudad Jara', 'Delaporte', 'Iseo & Dodosound', 'Lágrimas De Sangre', 'Segismundo Toxicómano', 'Ginestà', 'Josetxu Piperrak', 'Mafalda', 'Narco', 'Santa Salut', 'Adala', 'Crim', 'DJ Nàtura', 'DJ Trapella', 'El Pony Pisador', 'Figa Flawas', 'Grex', 'KeTeKalles', 'Lildami', 'Lo Puto Cat', 'Porto Bello', 'Senyor Oca', 'Sexenni']","['rock', 'pop', 'hip-hop', 'fusion', 'punk rock']",https://fanmusicfest.b-cdn.net/sites/default/files/331481439_1636373760150654_8389957465309087392_n.jpg,https://fanmusicfest.b-cdn.net/sites/default/files/styles/escrec_45x60/public/286904802_2802001763438791_4095385041712742427_n.jpg?itok=WtI06R72,False,39072,10K - 50K,Agosto,True,Cataluña,False,False,True,True
